time,date,temp_c
1500,2012-08-09,21.11111111111111
1e3,2012-08-10,19.444444444444443
1100,2012-08-10,20.555555555555557
1200,2012-08-10,20.555555555555557
1300,2012-08-10,21.11111111111111
1400,2012-08-10,21.11111111111111
1500,2012-08-10,22.22222222222222
1e3,2012-08-11,20
1100,2012-08-11,21.11111111111111
1200,2012-08-11,22.22222222222222
1300,2012-08-11,17.22222222222222
1400,2012-08-11,8.88888888888889
1500,2012-08-11,11.11111111111111
1e3,2012-08-12,18.88888888888889
1100,2012-08-12,18.333333333333332
1200,2012-08-12,20
1300,2012-08-12,18.88888888888889
1400,2012-08-12,17.22222222222222
1500,2012-08-12,17.22222222222222
1e3,2012-08-13,16.666666666666668
1100,2012-08-13,18.333333333333332
1200,2012-08-13,17.22222222222222
1300,2012-08-13,12.777777777777779
1400,2012-08-13,10.555555555555555
1500,2012-08-13,14.444444444444445
1e3,2012-08-14,18.88888888888889
1100,2012-08-14,18.333333333333332
1200,2012-08-14,17.77777777777778
1300,2012-08-14,16.666666666666668
1400,2012-08-14,12.777777777777779
1500,2012-08-14,16.11111111111111
1e3,2012-08-15,NA
1100,2012-08-15,NA
1200,2012-08-15,NA
1300,2012-08-15,NA
1400,2012-08-15,NA
1500,2012-08-15,NA
1e3,2012-08-16,NA
1100,2012-08-16,NA
1200,2012-08-16,NA
1300,2012-08-16,NA
1400,2012-08-16,NA
1500,2012-08-16,NA
1e3,2012-08-17,NA
1100,2012-08-17,NA
1200,2012-08-17,NA
1300,2012-08-17,NA
1400,2012-08-17,NA
1500,2012-08-17,NA
1e3,2012-08-18,NA
1100,2012-08-18,NA
1200,2012-08-18,NA
1300,2012-08-18,NA
1400,2012-08-18,NA
1500,2012-08-18,NA
1e3,2012-08-19,NA
1100,2012-08-19,NA
1200,2012-08-19,NA
1300,2012-08-19,NA
1400,2012-08-19,NA
1500,2012-08-19,NA
1e3,2012-08-20,NA
1100,2012-08-20,NA
1200,2012-08-20,NA
1300,2012-08-20,NA
1400,2012-08-20,NA
1500,2012-08-20,NA
1e3,2012-08-21,NA
1100,2012-08-21,NA
1200,2012-08-21,NA
1300,2012-08-21,NA
1400,2012-08-21,NA
1500,2012-08-21,NA
1e3,2012-08-22,NA
1100,2012-08-22,NA
1200,2012-08-22,NA
1300,2012-08-22,NA
1400,2012-08-22,NA
1500,2012-08-22,NA
1e3,2012-08-23,NA
1100,2012-08-23,NA
1200,2012-08-23,NA
1300,2012-08-23,NA
1400,2012-08-23,NA
1500,2012-08-23,NA
1e3,2012-08-24,NA
1100,2012-08-24,NA
1200,2012-08-24,NA
1300,2012-08-24,NA
1400,2012-08-24,NA
1500,2012-08-24,NA
1e3,2012-08-25,NA
1100,2012-08-25,NA
1200,2012-08-25,NA
1300,2012-08-25,NA
1400,2012-08-25,NA
1500,2012-08-25,NA
1e3,2012-08-26,NA
1100,2012-08-26,NA
1200,2012-08-26,NA
1300,2012-08-26,NA
1400,2012-08-26,NA
1500,2012-08-26,NA
1e3,2012-08-27,NA
1100,2012-08-27,NA
1200,2012-08-27,NA
1300,2012-08-27,NA
1400,2012-08-27,NA
1500,2012-08-27,NA
1e3,2012-08-28,NA
1100,2012-08-28,NA
